SUBJECT;LABEL;DICE;HDRFDST;;LABEL;METRIC;STATISTIC;VALUE
113619;WhiteMatter;0.840430387;2.236067977;;;;;
113619-PP;Amygdala;0.589631783;12.08304597;;;;;
113619-PP;GreyMatter;0.705423676;3.464101615;;;;;
113619-PP;Hippocampus;0.721773844;4.123105626;;;;;
113619-PP;Thalamus;0.845777031;3;;;;;
113619-PP;WhiteMatter;0.849520997;2.236067977;;;;;
113922;Amygdala;0.510347216;10.72380529;;;;;
113922;GreyMatter;0.6998013;2.236067977;;;;;
113922;Hippocampus;0.54648565;10.95445115;;;;;
113922;Thalamus;0.737278571;25.45584412;;;;;
113922;WhiteMatter;0.842081169;2.236067977;;;;;
113922-PP;Amygdala;0.58389662;8.94427191;;;;;
113922-PP;GreyMatter;0.678149827;3.741657387;;;;;
113922-PP;Hippocampus;0.699239763;4.242640687;;;;;
113922-PP;Thalamus;0.821984733;3.605551275;;;;;
113922-PP;WhiteMatter;0.852216367;2.449489743;;;;;
114419;Amygdala;0.537639752;11.5758369;;;;;
114419;GreyMatter;0.698636774;4.242640687;;;;;
114419;Hippocampus;0.439889466;13.56465997;;;;;
114419;Thalamus;0.718622264;26.94438717;;;;;
114419;WhiteMatter;0.860504183;3;;;;;
114419-PP;Amygdala;0.591899157;8.602325267;;;;;
114419-PP;GreyMatter;0.678163103;4;;;;;
114419-PP;Hippocampus;0.584950269;6.08276253;;;;;
114419-PP;Thalamus;0.79132313;4.69041576;;;;;
114419-PP;WhiteMatter;0.860929694;3;;;;;
115320;Amygdala;0.512758428;12.36931688;;;;;
115320;GreyMatter;0.71847668;3;;;;;
115320;Hippocampus;0.581953227;13.34166406;;;;;
115320;Thalamus;0.758577563;16.55294536;;;;;
115320;WhiteMatter;0.827759095;2.236067977;;;;;
115320-PP;Amygdala;0.591600213;11.18033989;;;;;
115320-PP;GreyMatter;0.702446331;3.464101615;;;;;
115320-PP;Hippocampus;0.719671925;4.242640687;;;;;
115320-PP;Thalamus;0.821280779;3.605551275;;;;;
115320-PP;WhiteMatter;0.84127145;2.236067977;;;;;
116524;Amygdala;0.530481469;11.35781669;;;;;
116524;GreyMatter;0.714508734;3;;;;;
116524;Hippocampus;0.538392971;12.56980509;;;;;
116524;Thalamus;0.722050677;17.20465053;;;;;
116524;WhiteMatter;0.821661402;2.449489743;;;;;
116524-PP;Amygdala;0.622126437;9.643650761;;;;;
116524-PP;GreyMatter;0.697645409;3.605551275;;;;;
116524-PP;Hippocampus;0.697508306;5.385164807;;;;;
116524-PP;Thalamus;0.815511283;4.358898944;;;;;
116524-PP;WhiteMatter;0.840994442;2.236067977;;;;;
117122;Amygdala;0.505313093;13.03840481;;;;;
117122;GreyMatter;0.71020654;2.236067977;;;;;
117122;Hippocampus;0.571033625;14.86606875;;;;;
117122;Thalamus;0.760615674;31.28897569;;;;;
